id,pregunta
Q001,"Debe haber homogeneidad de formato en el tamaño de letras entre títulos y subtítulos."
Q002,"Deben haber marcadores en el documento."
Q003,"No debe aparecer ningún error de marcadores no definidos (ejemplo: ""¡Error! No se encuentra el origen de la referencia"")."
Q004,"Debe aparecer las firmas al final del documento (solamente si es la Memoria, Plan Marco, Plan de Obra, Presupuesto para el conocimiento de la administración, PPTP y Presupuesto)."
Q005,"La fecha de entrega de la portada debe ser la misma que la de las firmas en caso de haber firmas."
Q006,"Debe incluirse la portada al documento."
Q007,"No debe haber hojas en blanco."
Q008,"No debe haber errores de paginación (la página 1 es la primera después del índice)."
Q009,"No debe aparecer ninguna referencia a GPO."
Q010,"Los criterios de formato deben seguir lo especificado al documento: NAG 1-0-1.0 o NAG4-0-0.0 2.ª Ed. - enero 2024."
Q011,"En el caso de existir apéndices, deben estar adjuntos al documento."
Q012,"No aparecen errores ortográficos."
Q013,"Las imágenes y las fórmulas son perfectamente legibles."
Q014,"No existen referencias a otros proyectos fuera de los apartados de antecedentes."
Q015,"El título del documento."
