pregunta,estado,notas
"Debe haber homogeneidad de formato en el tamaño de letras entre títulos y subtítulos.","pendiente",""
"Deben haber marcadores en el documento.","pendiente",""
"No debe aparecer ningún error de marcadores no definidos (ejemplo: ""¡Error! No se encuentra el origen de la referencia"").","pendiente",""
"Debe aparecer las firmas al final del documento (solamente si es la Memoria, Plan Marco, Plan de Obra, Presupuesto para el conocimiento de la administración, PPTP y Presupuesto).","pendiente",""
"La fecha de entrega de la portada debe ser la misma que la de las firmas en caso de haber firmas.","pendiente",""
"Debe incluirse la portada al documento.","pendiente",""
"No debe haber hojas en blanco.","pendiente",""
"No debe haber errores de paginación (la página 1 es la primera después del índice).","pendiente",""
"No debe aparecer ninguna referencia a GPO.","pendiente",""
"Los criterios de formato deben seguir lo especificado al documento: NAG 1-0-1.0 o NAG4-0-0.0 2.ª Ed. - enero 2024.","pendiente",""
"En el caso de existir apéndices, deben estar adjuntos al documento.","pendiente",""
"No aparecen errores ortográficos.","pendiente",""
"Las imágenes y las fórmulas son perfectamente legibles.","pendiente",""
"No existen referencias a otros proyectos fuera de los apartados de antecedentes.","pendiente",""
"El título del documento.","pendiente",""
